Problem Number;Problem Name;Status;Difficulty;Tags
292;Nim Game;Finished;Easy
299;Bulls and Cows;Finished;Easy,hash-table
300;Longest Increasing Subsequence;Finished;Medium,dynamic-programming,binary-search
303;Range Sum Query Immutable;Finished;Easy,dynamic-programming
322;Coin Change;Finished;Medium,dynamic-programming
326;Power of Three;Finished;Easy,math
338;Counting Bits;Finished;Medium,dynamic-programming,bit-manipulation
344;Reverse String;Finished;Easy,two-pointers,string
345;Reverse Vowels of a String;Finished;Easy,two-pointers,string
347;Top K Frequent Elements;Finished;Medium,hash-table
349;Intersection of Two Arrays;Finished;Easy,two-pointers,hash-table,sort,binary-search
350;Intersection of Two Arrays II;Finished;Easy,two-pointers,hash-table,sort,binary-search
357;Count Numbers with Unique Digits;Finished;Medium,dynamic-programming,math
383;Ransom Note;Finished;Easy,string
397;Integer Replacement;Finished;Medium,bit-manipulation,math
404;Sum of Left Leaves;Finished;Easy,trees
406;Queue Reconstruction by Height;Finished;Medium
409;Longest Palindrome;Finished;Easy,hash-table
412;Fizz Buzz;Finished;Easy
413;Arithmetic Slices;Finished;Medium,dynamic-programming,math
415;Add Strings;Finished;Easy,string
429;N ary Tree Level Order Traversal;Finished;Medium,trees
459;Repeated Substring Pattern;Finished;Easy,string
461;Hamming Distance;Finished;Easy,bit-manipulation
468;Validate IP Address;Finished;Medium,string
482;License Key Formatting;Finished;Easy
485;Max Consecutive Ones;Finished;Easy,arrays
498;Diagonal Traverse;Finished;Medium
500;Keyboard Row;Finished;Easy,hash-table
507;Perfect Number;Finished;Easy,math
509;Fibonacci Number;Finished;Easy,arrays
520;Detect Capital;Finished;Easy,string
523;Continuous Subarray Sum;Finished;Medium,dynamic-programming,math
525;Contiguous Array;Finished;Medium,hash-table
530;Minimum Absolute Difference in BST;Finished;Easy,trees
535;Encode and Decode TinyURL;Finished;Medium,hash-table,math
537;Complex Number Multiplication;Finished;Medium,string,math
540;Single Element in a Sorted Array;Finished;Medium
541;Reverse String II;Finished;Easy,string
543;Diameter of Binary Tree;Finished;Easy,trees
557;Reverse Words in a String III;Finished;Easy,string
560;Subarray Sum Equals K;Finished;Medium,hash-table,arrays
575;Distribute Candies;Finished;Easy,hash-table
605;Can Place Flowers;Finished;Easy,arrays
617;Merge Two Binary Trees;Finished;Easy,trees
