Problem number,Problem Name,Tag
922,Sort Array By Parity II,strings
976,Largest Perimeter Triangle,strings
1030,Matrix Cells in Distance Order,strings
1309,Decrypt String from Alphabet to Integer Mapping,strings
1310,XOR Queries of a Subarray,strings
1312,Minimum Insertion Steps to Make a String Palindrome,strings
1317,Convert Integer to the Sum of Two No Zero Integers,strings
1318,Minimum Flips to Make a OR b Equal to c,strings
1323,Maximum 69 Number,strings
1324,Print Words Vertically,strings
1325,Delete Leaves With a Given Value,strings
1,Two Sum,hash-table
7,Reverse Integer,hash-table
9,Palindrome Number,hash-table
14,Longest Common Prefix,hash-table
20,Valid Parentheses,hash-table
26,Remove Duplicates from Sorted Array,hash-table
27,Remove Element,hash-table
50,Pow(x; n),hash-table
53,Maximum Subarray,hash-table
66,Plus One,hash-table
67,Add Binary,hash-table
70,Climbing Stairs,hash-table
94,Binary Tree Inorder Traversal,hash-table
100,Same Tree,hash-table
101,Symmetric Tree,hash-table
104,Maximum Depth of Binary Tree,hash-table
121,Best Time to Buy and Sell Stock,hash-table
122,Best Time to Buy and Sell Stock II,hash-table
125,Valid Palindrome,hash-table
136,Single Number,hash-table
151,Reverse Words in a String,hash-table
167,Two Sum II Input array is sorted,hash-table
169,Majority Element,hash-table
171,Excel Sheet Column Number,hash-table
172,Factorial Trailing Zeroes,hash-table
190,Reverse Bits,hash-table
191,Number of 1 Bits,hash-table
231,Power of Two,hash-table
242,Valid Anagram,hash-table
258,Add Digits,hash-table
268,Missing Number,hash-table
283,Move Zeroes,hash-table
290,Word Pattern,hash-table
303,Range Sum Query Immutable,hash-table
344,Reverse String,hash-table
345,Reverse Vowels of a String,hash-table
349,Intersection of Two Arrays,hash-table
350,Intersection of Two Arrays II,hash-table
852,Peak Index in a Mountain Array,hash-table
922,Sort Array By Parity II,hash-table
976,Largest Perimeter Triangle,hash-table
1030,Matrix Cells in Distance Order,hash-table
1309,Decrypt String from Alphabet to Integer Mapping,hash-table
1310,XOR Queries of a Subarray,hash-table
1312,Minimum Insertion Steps to Make a String Palindrome,hash-table
1317,Convert Integer to the Sum of Two No Zero Integers,hash-table
1318,Minimum Flips to Make a OR b Equal to c,hash-table
1323,Maximum 69 Number,hash-table
1324,Print Words Vertically,hash-table
1325,Delete Leaves With a Given Value,hash-table
1,Two Sum,linked-list
7,Reverse Integer,linked-list
9,Palindrome Number,linked-list
14,Longest Common Prefix,linked-list
20,Valid Parentheses,linked-list
26,Remove Duplicates from Sorted Array,linked-list
27,Remove Element,linked-list
50,Pow(x; n),linked-list
53,Maximum Subarray,linked-list
66,Plus One,linked-list
67,Add Binary,linked-list
70,Climbing Stairs,linked-list
94,Binary Tree Inorder Traversal,linked-list
100,Same Tree,linked-list
101,Symmetric Tree,linked-list
104,Maximum Depth of Binary Tree,linked-list
121,Best Time to Buy and Sell Stock,linked-list
122,Best Time to Buy and Sell Stock II,linked-list
125,Valid Palindrome,linked-list
136,Single Number,linked-list
151,Reverse Words in a String,linked-list
167,Two Sum II Input array is sorted,linked-list
169,Majority Element,linked-list
171,Excel Sheet Column Number,linked-list
172,Factorial Trailing Zeroes,linked-list
190,Reverse Bits,linked-list
191,Number of 1 Bits,linked-list
231,Power of Two,linked-list
242,Valid Anagram,linked-list
258,Add Digits,linked-list
268,Missing Number,linked-list
283,Move Zeroes,linked-list
290,Word Pattern,linked-list
303,Range Sum Query Immutable,linked-list
344,Reverse String,linked-list
345,Reverse Vowels of a String,linked-list
349,Intersection of Two Arrays,linked-list
350,Intersection of Two Arrays II,linked-list
852,Peak Index in a Mountain Array,linked-list
922,Sort Array By Parity II,linked-list
976,Largest Perimeter Triangle,linked-list
1030,Matrix Cells in Distance Order,linked-list
1309,Decrypt String from Alphabet to Integer Mapping,linked-list
1310,XOR Queries of a Subarray,linked-list
1312,Minimum Insertion Steps to Make a String Palindrome,linked-list
1317,Convert Integer to the Sum of Two No Zero Integers,linked-list
1318,Minimum Flips to Make a OR b Equal to c,linked-list
1323,Maximum 69 Number,linked-list
1324,Print Words Vertically,linked-list
1325,Delete Leaves With a Given Value,linked-list
1,Two Sum,sort
7,Reverse Integer,sort
9,Palindrome Number,sort
14,Longest Common Prefix,sort
20,Valid Parentheses,sort
26,Remove Duplicates from Sorted Array,sort
27,Remove Element,sort
50,Pow(x; n),sort
53,Maximum Subarray,sort
66,Plus One,sort
67,Add Binary,sort
70,Climbing Stairs,sort
94,Binary Tree Inorder Traversal,sort
100,Same Tree,sort
101,Symmetric Tree,sort
104,Maximum Depth of Binary Tree,sort
121,Best Time to Buy and Sell Stock,sort
122,Best Time to Buy and Sell Stock II,sort
125,Valid Palindrome,sort
136,Single Number,sort
151,Reverse Words in a String,sort
167,Two Sum II Input array is sorted,sort
169,Majority Element,sort
171,Excel Sheet Column Number,sort
172,Factorial Trailing Zeroes,sort
190,Reverse Bits,sort
191,Number of 1 Bits,sort
231,Power of Two,sort
242,Valid Anagram,sort
258,Add Digits,sort
268,Missing Number,sort
283,Move Zeroes,sort
290,Word Pattern,sort
303,Range Sum Query Immutable,sort
344,Reverse String,sort
345,Reverse Vowels of a String,sort
349,Intersection of Two Arrays,sort
350,Intersection of Two Arrays II,sort
852,Peak Index in a Mountain Array,sort
922,Sort Array By Parity II,sort
976,Largest Perimeter Triangle,sort
1030,Matrix Cells in Distance Order,sort
1309,Decrypt String from Alphabet to Integer Mapping,sort
1310,XOR Queries of a Subarray,sort
1312,Minimum Insertion Steps to Make a String Palindrome,sort
1317,Convert Integer to the Sum of Two No Zero Integers,sort
1318,Minimum Flips to Make a OR b Equal to c,sort
1323,Maximum 69 Number,sort
1324,Print Words Vertically,sort
1325,Delete Leaves With a Given Value,sort
